task_id,max. depth,learning rate,algorithm,iterations,imputation
Task 9983,0.5636502747597587,0.1348225226846987,0.125439731529011,0.011970376495224163,0.0003754344394759774
Task 9985,0.7679526800472021,0.04680719093531584,0.024635130964249734,0.01298772996823009,0.0003878355442633468
Task 3913,0.22653691835172735,0.28193382358126456,0.029789375931631473,0.014803341267234042,0.0019488612145152563
Task 146195,0.574206212850297,0.09355566646454518,0.0978488253486439,0.023040926947658448,0.0005834508462546716
Task 34537,0.553568843801492,0.05516155685524092,0.20575342162253338,0.006513646648559097,0.00032143577038673944
Task 34536,0.3434207070486003,0.2559053319620244,0.0010749410738678613,0.03556334025738811,0.0008659392315873713
Task 9957,0.2705375902077129,0.16689350326117613,0.003408121563758847,0.014195747019280742,0.0009017374401046206
Task 3493,0.5681127907631109,0.023863661518281728,0.05779158603623467,0.018038285750074625,0.00045925908080982574
Task 3904,0.01094576088219074,0.5350709131417772,0.0273529159898457,0.06941611534438479,0.0012929351047575315
Task 3021,0.5563088523505091,0.032568061392153284,0.023909751763989108,0.030096998852376038,0.0018505040984271443
Task 9960,0.6897940477555502,0.015696514165260342,0.010801804815438302,0.005505598033062595,0.0013902841510760318
Task 3561,0.026615567385045537,0.3515939875463041,0.1393541772464319,0.024019351978213848,0.001257704317312342
Task 3022,0.8760321891926268,0.041040363948366534,0.0006011692005705856,0.005121231846528485,0.00021385121874403957
Task 24,0.3032414542772798,0.0309655726168079,0.006190081034077191,0.008853813002606454,0.0009709830195775418
Task 9978,0.21224304196135474,0.13828398308719217,0.0038942111746347,0.0158396012603003,0.0015587947670713783
Task 10093,0.263081857587691,0.18174185239747243,0.010117892687554562,0.060471751443400876,0.0002290664513611093
Task 6,0.8777814379486145,0.00945261961046313,0.024451745657358373,0.006718019551832143,0.00010121747254012308
Task 3954,0.49429573229283486,0.06261295539916197,0.03815143070741389,0.022643204610093372,0.00038186792165886564
Task 9986,0.789711672401762,0.05285072426196323,0.0011128805886789158,0.006846405148763221,0.00037240998663819473
Task 10101,0.39554284482441104,0.1487330827250941,0.05317684407840388,0.008239297222115733,0.001175630666654506
Task 3899,0.3176110965322286,0.20090589640305276,0.13889197193597952,0.01247055511135014,0.00034694410632949606
Task 3510,0.6864048876430502,0.07277315926958905,0.02290644065254266,0.012798747764368281,0.0003731811044018257
Task 9980,0.4838966581514613,0.09224571825053421,0.015166645262356917,0.02390748561425283,0.0010271736767088467
Task 34539,0.012118846367130443,0.5015768711012648,0.025206811255363934,0.03072720558616869,0.0018930307341177288
Task 31,0.06522171624033185,0.2837888723029661,0.025169393065826454,0.04672080933094374,0.0021462724437973607
Task 125921,0.014703247016290857,0.3840715327554039,0.04928064019296037,0.012582385254068247,0.0005729307132802295
Task 41,0.6158928964573707,0.067901773958741,0.0057036876120666186,0.0068576385513729205,0.000727859228995158
Task 9955,0.849863565182177,0.029120431854767967,0.0004596815473619089,0.01535413013473272,0.0010274599771956797
Task 11,0.6783301007551616,0.040793892765313006,0.0031270014242481526,0.010190247902411784,0.00043463689796460655
Task 20,0.5952913010337412,0.057818863390616246,0.018288889851740694,0.01806023699919514,0.0007812866577971947
Task 3917,0.012779492886343988,0.37606693088141613,0.028953260001667126,0.07943998082121186,0.001467554361721829
Task 21,0.8465832618883837,0.024514860799177484,0.001403887207758772,0.0033768226451463277,0.000553910514777625
Task 7592,0.030277073274182498,0.5516479052470462,0.0025478268925244888,0.09376884602731998,0.0008250239779765166
Task 28,0.6306739168059021,0.05306241323264148,0.029949996416169654,0.014329724659483014,0.0003518218872984707
Task 9976,0.18786403196574075,0.18752281930919165,0.33475320449551266,0.009408398712145109,0.0003794132973416462
Task 9981,0.37497315013986043,0.09991271434692583,0.0033610892865500452,0.01792269363542444,0.0014052085264105421
Task 14965,0.10048885414144648,0.5133269442870292,0.0014249462293657788,0.015706846720473736,0.0010050213344190446
Task 3560,0.15784574860110906,0.2900171451269434,0.06614508105698023,0.014231915597536648,0.0014192217710448005
Task 3891,0.3994113526700386,0.2361289565659518,0.025407215999285897,0.016161056228865486,0.0009142132686795703
Task 37,0.10672468914373914,0.13724612541358572,0.16628389162766774,0.03279899016464584,0.0020927873076169844
Task 14,0.671610234685686,0.02842866373229736,0.07951014981012622,0.004812740955820932,0.00040136071785691906
Task 3948,0.031116719495958366,0.41418731048058405,0.09511563218427732,0.011589708960672128,0.000569180116590927
Task 3494,0.4448615298140133,0.06158526136239026,0.07458337488455558,0.008766793709630603,0.0008983325681150374
Task 29,0.1147929647462242,0.18749583114466295,0.07351443270759975,0.019861993571104006,0.0020258830547014374
Task 146607,0.12383164487260355,0.3149554567576599,0.035570630522708896,0.01593765253422162,0.00106718762804761
Task 9946,0.652477466525139,0.08670122730079402,0.0018495600386003032,0.008115792668044327,0.0013427107013713015
Task 125922,0.7079597069500236,0.02440579207179972,0.023621544603810468,0.0021958101827030526,0.000667857390864377
Task 14970,0.7286788904438921,0.03402225361933438,0.013283742011678468,0.047798664404350724,0.001985878297635648
Task 3896,0.043210398110430565,0.37060454279977284,0.10278244742216427,0.006877478573529779,0.0017839423842813075
Task 3567,0.05327886200427024,0.20648923373697886,0.006738765104087307,0.06779292132159884,0.0014779346546223186
Task 9979,0.18634919037050623,0.12324962672553277,0.006243001802470874,0.03069441807179494,0.0027177275476155238
Task 3946,0.009709295326065917,0.4713761331757399,0.03509197371829188,0.018612580155169707,0.0007184886302513039
Task 9952,0.7482463810127123,0.028375789251835593,0.09759894200819666,0.005936440976727569,0.0002607379503390888
Task 2079,0.44465951990985597,0.10448866099714196,0.1888227493943853,0.007118139888547648,0.0005953830724026794
Task 45,0.48443133147996925,0.023735539151189818,0.012754523911370108,0.00453326049127243,0.0005557396540198357
Task 9977,0.5281414230389914,0.0794341023110535,0.0704461889561061,0.032247200073743806,0.0005024181976503929
Task 9964,0.6593267657382142,0.09453378298510881,0.0013413719599943148,0.03256732203535954,0.0005932074067341268
Task 3573,0.7554029345143121,0.03260569537144965,0.0014598571946974098,0.010050512921457783,0.00016685794333224296
Task 22,0.6050322195104084,0.08128207362121984,0.06171109993609148,0.012927460619746598,0.0007353682426805176
Task 36,0.7316028279903279,0.009021723386652813,0.025772523663450148,0.009232067243356627,0.0011239945642722903
Task 43,0.3987264061771181,0.12336649316737655,0.026388841316058176,0.04656660995427821,0.0005751797420440394
Task 14964,0.8317886823449161,0.023414127100969497,0.006089533592391517,0.00541195003012603,0.0004083702962706984
Task 53,0.6876273891598116,0.019168893753265182,0.010399054697279482,0.02980481577993107,0.0007213638354733898
Task 14967,0.24421704688740525,0.05747516813431285,0.11428475335701031,0.03548551888661893,0.0011050106022808073
Task 14969,0.7955816509744928,0.019119765583320836,0.012443046462617149,0.0184770068758597,0.0001620227477958572
Task 3889,0.40340814320853086,0.028596125001689683,0.021373490219924067,0.010648336316267078,0.00012736127477672843
Task 9950,0.7538296318504202,0.032530347443289115,0.0018224058273466556,0.014693282180415063,0.0007556187352370171
Task 125920,0.19926526251960236,0.08008683397176874,0.11617972194995937,0.014018871742474567,0.002386439918145246
Task 3485,0.21472959213748313,0.05900128648240159,0.010276984240841645,0.02072654721943432,0.0004950156768910811
Task 146606,0.18691869822765547,0.17892738571749292,0.016867985684843607,0.022512727565197635,0.0014625180143712812
Task 3918,0.10280998250279748,0.109435398736381,0.14136662308965686,0.018606199106855292,0.0037888731525847676
Task 9956,0.6585087987191103,0.05771789724936729,0.022431214014124665,0.013555170330105691,0.0010672132186137385
Task 2074,0.7390601609739555,0.007269360449435585,0.06366424781339144,0.012831008116019348,0.0006216247696257181
Task 219,0.5519528880304467,0.09080281374127311,0.16863809698901946,0.010618261554096127,0.00034636103556044066
Task 3512,0.7518107174598524,0.011936030636650653,0.010169966806341139,0.010817268812653236,0.0019072566706422028
Task 3903,0.05665991203031563,0.3282973705691177,0.0005299576892003867,0.06801045423610315,0.0020581799950095256
Task 18,0.7299375072904517,0.04017434958148067,0.000779789864648511,0.006126018801500354,0.0005634155948830906
Task 3481,0.8512987740398159,0.008428262627305245,0.02705949986068147,0.0033669722392126204,0.0005963384615680492
Task 34538,0.22860441590672673,0.0361591296737082,0.034347644536131275,0.004195345579954571,0.0007067934673936266
Task 49,0.6233957366272249,0.03643541875710858,0.017249817674286103,0.010199675625022973,0.0003065487895133317
Task 3492,0.6810150453253608,0.02082769796257679,0.045490519091779015,0.0015208748813953846,0.0007633241612802996
Task 9970,0.2714502618854798,0.2032730903215145,0.27671789154084425,0.01702868528487789,0.0007124820524640956
Task 14968,0.14762768422730904,0.3770851724424037,0.02477085864600069,0.05521643517980064,0.00416261302643243
Task 9954,0.6781403950134488,0.05855374372611333,0.017323476745651867,0.011045175117809083,0.0004450629643646272
Task 125923,0.12388236245898167,0.13681477812419246,0.08005436576424663,0.016965950947920014,0.0009969132282577576
Task 32,0.8709337678177018,0.018439311506190766,0.0003967156683330361,0.007994475422736489,0.000170320515755028
Task 12,0.6325090059141761,0.02259790464069777,0.031244774890217993,0.035137357631915764,0.0009468305456245598
Task 14966,0.37711045535172194,0.14091182685701947,0.06823144558626357,0.04267182445101824,0.0010249406227258138
Task 9914,0.4797825247423853,0.10499972585984052,0.018600332544571795,0.016858171493498903,0.0014469953170716807
Task 58,0.07713846455023593,0.26845917839133443,0.10826733975954259,0.0260179500556217,0.0010878290592537178
Task 3902,0.13765432267115313,0.15690926765091584,0.008375694002692356,0.09512445541769905,0.0028543567433188767
Task 16,0.6303200411395229,0.062013699789974404,0.01131327316883333,0.04488379251511654,0.001062429949747806
Task 9971,0.08061646939386084,0.20627966181041565,0.0086960674460028,0.024758940487810497,0.0073151979091539265
Task 15,0.6132184902688016,0.10952477047588349,0.0009447706273132586,0.01472085409601828,0.004475740025597896
Task 3543,0.3020718474648927,0.024640001627826966,0.04957427236169541,0.03329455468323547,0.00980353491269548
Task 23,0.21013957711013012,0.19107547226271426,0.04383383641044501,0.009832232373677006,0.0014580412822142372
Task 9968,0.22903943844815344,0.22106011931765573,0.018245947668741075,0.012506234778534651,0.0009131342709974244
Task 3549,0.5455078398253073,0.09780022001993445,0.00976296305141322,0.030003281753707357,0.0006560013387212199
Task 3,0.45263969036818913,0.10303303240006473,0.05465084813302112,0.005528384339203442,0.0007699949154311225
Task 9967,0.18170285384308998,0.0633994776714121,0.017212811842966025,0.03749360202709054,0.0006655755389361685
