task_id,gamma,complexity,tol,imputation,shrinking
Task 9983,0.7103990055207923,0.1544247590161505,0.0072398868362932665,0.0010699876243782,0.00016089769556851767
Task 9985,0.5614578231078213,0.14539114148520046,0.006023289141681071,0.0009146303613019614,0.0008770808444623433
Task 3913,0.5605222229476361,0.24399224434921965,0.004811144692576092,0.0009605253071545858,0.00044773048550744883
Task 34537,0.8596748636998044,0.058261402835299694,0.011062032211620899,0.00016926715298538344,0.00011304779863508218
Task 34536,0.9432216978955865,0.008306090355222253,0.005652905080777005,0.0006260870122838079,8.47599891348546e-05
Task 9957,0.7489798908880784,0.06149410888550927,0.008488726594598393,0.001321483356849891,0.0009901234662693487
Task 3493,0.3573978198821865,0.2497629376460211,0.007503874508799274,0.0009264195309785424,0.00012238459116777065
Task 3904,0.17264570987723338,0.36152308638177943,0.010111274925636784,0.0022261924209591552,0.0014958554389814783
Task 3021,0.29640716551065677,0.2967356595000885,0.03514323445312183,0.0015997522387904712,0.0006465696730525248
Task 9960,0.416202847382254,0.3043204676156459,0.005371004895794943,0.001370710589618037,0.0008032858060435308
Task 3561,0.8316962484737624,0.06374629772377578,0.010215493904943262,0.0004660256827487617,0.0003432910980409519
Task 3022,0.19194624623481038,0.5261983323087736,0.026805912200144576,0.002009372294466657,0.00030556646854240605
Task 24,0.9267739434632378,0.0013361080589462063,0.02881055710741394,5.2034822155723117e-05,0.000675198155562298
Task 9978,0.5188703100534109,0.09655992180698728,0.022451955574232962,0.001523551892848022,0.00016141108219917146
Task 10093,0.28863543773378786,0.2947745979156784,0.007514176726428859,0.003409880012695144,0.00018119703207606567
Task 6,0.3252436817407117,0.35346085296696905,0.02955898362838367,0.0017582801828449355,0.0005408552070669947
Task 3954,0.5446847074967867,0.1502858024055046,0.01193653229043291,0.0024108098221595235,0.0003071320726444355
Task 9986,0.20464612152787404,0.3485308408629445,0.029685654863004562,0.0008454198167162826,0.0003714807161853191
Task 10101,0.3046138565417841,0.04597965770481342,0.040096353076260395,0.012050353741419792,0.0001955964441910954
Task 3899,0.4960934451770246,0.3057337220946763,0.00546470919081961,0.0012570155309306775,0.00040860361361511727
Task 3510,0.5213885180639086,0.20265136866197786,0.012887171191758154,0.0017610828392648097,0.0005090466276489781
Task 9980,0.30522540854274094,0.2419460198575949,0.02913710892215175,0.0019750238354607997,0.0003969643274466941
Task 34539,0.35702680949845267,0.10934870161503224,0.04107793164545133,0.0032482031475134644,0.0007818049703070978
Task 31,0.8928006897388192,0.01180262966466122,0.005913401943250343,0.000587228668956921,0.0006883457395583056
Task 125921,0.21967699485342176,0.29901156698096387,0.011650476625560076,0.0022851946236700244,0.0019081794194240678
Task 41,0.8388263536062726,0.06968375392567164,0.005647177810471136,0.00011758876511584835,0.0001794238711375211
Task 9955,0.2260403002573475,0.5189892942620818,0.00560267683203995,0.0012378374152787449,0.0025705304204113057
Task 11,0.2838923415977831,0.2922218383326817,0.0391550592484797,0.0004531331841380915,0.0009436287689742061
Task 20,0.8898221218923568,0.01713312173021818,0.010197866774113506,0.0008249605340254957,0.00018118960759684868
Task 3917,0.44041006915458014,0.1784222518891953,0.015091027360056136,0.00251368971559459,0.0003831332575071117
Task 21,0.8817273874611116,0.03731608062943023,0.0057539430340324445,0.0015523084276922784,0.00012762285748285445
Task 7592,0.8075941087722546,0.034586031093803385,0.013607824847891126,0.0017625835286936026,0.0004070285060456681
Task 28,0.892089343780065,0.03738061076700082,0.005709938365152237,0.00019955310198328463,0.0002850285281349931
Task 9976,0.6538829976134304,0.12532242104002786,0.004583607748659301,0.0005960107161838216,5.967958848931351e-05
Task 9981,0.680322360204445,0.17567168624198853,0.00745119700328697,0.0002545230494541261,0.0009106858920308776
Task 14965,0.7151374281917088,0.020651148763200466,0.012306472385637162,0.0003964803006536069,0.0011555152738555654
Task 3560,0.6839245173278257,0.04509894260710475,0.0315142451384466,0.0026237862139246093,0.0006792673457040988
Task 37,0.748697774214152,0.049114586279260394,0.024142418044814748,0.0006710829514986422,0.00014482597973313477
Task 14,0.7921806521713372,0.08194710611939146,0.015549634271175124,0.001272184878584718,0.0001280627969949218
Task 3494,0.8415056679020743,0.03357457969263753,0.007175068488808953,0.0003053509466417162,3.5381864774303536e-05
Task 29,0.9039404281303565,0.023297303562612746,0.0029094863497356417,0.0003703899573162026,0.00042780927009334864
Task 146607,0.9355934085502553,0.00801472868847043,0.004563194425516013,0.0009579419048807755,0.0002090365234714474
Task 9946,0.9578503238953663,0.009763135940510514,0.001850568736317372,0.00014942460944793485,4.5083138645560366e-05
Task 125922,0.21521876029103543,0.47627652465891845,0.004636322628120856,0.001038629826829891,0.001349692069826188
Task 14970,0.9353827468218658,0.013290325689146436,0.0026728439611232676,9.718218312028217e-05,0.000318894416839765
Task 3567,0.9631628291508866,0.010802816236530635,0.0023261347917627605,0.00023183986595486894,0.00010448538280489403
Task 9979,0.9607008803105624,0.0021083152355123517,0.01358688475936684,7.164629139742618e-05,3.704083323084763e-05
Task 9952,0.7864008091180544,0.0772887528073466,0.0032252325023856446,0.00153868635380787,0.0003107979700734545
Task 2079,0.8258757668873389,0.06637277194340568,0.0017238720193583947,0.0003069091823383137,9.400929166652837e-05
Task 45,0.9777789736509228,0.0018926172489471186,0.004363948343828325,3.010177245125668e-05,3.098414547239567e-06
Task 9977,0.8973187223992745,0.04836544749561494,0.005862198043555158,0.0006403005426303637,0.00017568266496506378
Task 9964,0.8445661095012035,0.05037751003338664,0.008670633953485704,0.00012683097967064282,0.00019270038948701458
Task 22,0.7116317043731747,0.12494413629803175,0.008720322410109074,0.0004350022105069221,0.00013803600186736866
Task 36,0.1519308964477991,0.4379400073316875,0.03293590450626149,0.00098354641309793,0.00013508521330840887
Task 43,0.803790969482389,0.02841011446596392,0.01073115805965735,0.0029191968204645095,0.0006286521606927503
Task 14964,0.6711012536428083,0.23179989114360694,0.003215909962869682,0.0003796778840134459,4.822614770066919e-05
Task 53,0.2863809661585007,0.42830350605458456,0.01883880555947222,0.0022679524966650122,0.00017563916514454035
Task 14967,0.8928027700164367,0.018871361454566752,0.001998586810152518,0.0070162734282967765,0.0009785505399620058
Task 14969,0.3976547534321355,0.2985489704610167,0.007175011621582366,0.0006419115050214264,0.0004880930779277287
Task 3889,0.9532265118325728,0.00773303629193331,0.006376240924038851,5.118317614458387e-05,0.00023640690875532746
Task 9950,0.8480959927100282,0.04517474300928079,0.012276799352348652,0.002039454175423135,2.354629679261763e-05
Task 125920,0.41375672461854796,0.08810493219412366,0.03808163740080597,0.003526940092499267,0.003104302339407833
Task 3485,0.9167855678584906,0.014415592463178209,0.005428109318402987,0.0015692687461038883,0.0001731373713222008
Task 3918,0.6472468253714092,0.030264208984098845,0.02466358774281238,0.001229756387754391,0.0006256441962431865
Task 9956,0.5290384861108166,0.2401653460232085,0.003136612589171314,0.0019171768897170698,3.542497304044171e-05
Task 2074,0.7907057903286829,0.10316688445295633,0.005043611758882692,0.00042874574060245275,0.0006146800186015097
Task 219,0.8060383877098459,0.08987293208019179,0.0046931041429655925,0.0007151742495891908,0.0004364166645955747
Task 3512,0.7782600972192677,0.07986440668423812,0.009508253820169784,0.0006180138704184535,0.00012972649782174619
Task 3903,0.07129348276706039,0.27112160822952935,0.0030575936180567745,0.0008802793300030947,0.0028419359708276946
Task 18,0.2726448189658377,0.24807917873216548,0.019891934598174853,0.0014083885055078927,0.00017763978198436907
Task 3481,0.9508251507171498,0.010522415304111247,0.0011763712298929335,0.0001587656169652132,3.753338232698765e-05
Task 34538,0.9134249780798871,0.010389789381360624,0.012983381903291194,0.00013057754083114714,0.00022317336033793198
Task 49,0.5962079648864108,0.13966471659916918,0.01879758201549537,0.0016752215315216216,0.0005305239132657972
Task 3492,0.3109405283117914,0.37964188935716486,0.01785731498381829,0.0014910398474674046,0.0009657329994462263
Task 9970,0.12312252953363126,0.7192791552987698,0.010767594616672392,0.0007978841939616756,0.0009259379513746728
Task 14968,0.8629112620065251,0.03541063101405723,0.010279864299071266,0.001998774709825667,7.891353801857549e-05
Task 9954,0.5461887506650791,0.2223905330386859,0.013725475215825069,0.00024120603645580882,9.090267607926713e-05
Task 125923,0.9008403437970937,0.022821403252757732,0.00781457832432249,0.0005450896438731625,0.0001845765172823109
Task 32,0.3032951613708813,0.32765633723931287,0.015288022006411613,0.001470791518279805,0.0037835662821432874
Task 12,0.8872051345477094,0.0180339319606526,0.010071646143096835,0.0002483994857907301,0.00016275064915824365
Task 14966,0.9256602958925717,0.019414639243410456,0.0023647204086803594,8.149613851889887e-05,1.9298146870188754e-05
Task 9914,0.13361868520762726,0.10014602270378441,0.20106319266086042,0.00037838953417801603,0.001982803973531575
Task 58,0.9151230411741003,0.012088820333138284,0.0165624943261158,0.00024555381988807033,5.2821830894777814e-05
Task 3902,0.6221910422992063,0.12181913665240886,0.024629824692719668,0.0005046285613555358,0.00036381208344808604
Task 16,0.7633885992081737,0.08037870523007845,0.009475784040642622,0.0006063490559054831,0.0014132148643926886
Task 9971,0.14862537449735247,0.21407188126111382,0.0603146563656877,0.003499665918959515,0.000904656126998942
Task 15,0.5974484371837221,0.08096728478246173,0.011669521475338859,0.003110317318979915,0.000851731149852575
Task 3543,0.5856270174024397,0.113877875248979,0.028220195665156753,0.0008500684547432262,0.0022012037757229985
Task 23,0.6534031337651949,0.033012712105416064,0.007705439301432496,0.000946151044748894,0.0016765869702324576
Task 3549,0.9281539709077569,0.0112062926266727,0.009894566719145452,0.0008979175507154065,5.39174915350125e-05
Task 3,0.8760689965301167,0.026873208853820312,0.014332813296342952,0.00019836470503309741,1.713235808053419e-05
Task 9967,0.9326674027355717,0.010758327818788924,0.0038187486805529524,0.00010392593014962562,0.00015665498613290764
